id,breed,name
1,XXX,Undefined
2,EXO,Exotic
3,PER,Persian
4,RAG,Ragdoll
5,SBI,Sacred Birman
6,TUV,Turkish Van
7,ACL,American Curl Longhair
8,ACS,American Curl Shorthair
9,LPL,LaPerm longhair
10,LPS,LaPerm shorthair
11,MCO,Maine Coon
12,NFO,Norwegian Forest Cat
13,SIB,Siberian
14,TUA,Turkish Angora
15,NEM,Neva Masquerade
16,XLH,Not recognised longhair
17,BEN,Bengal
18,BLH,British Longhair
19,BSH,British Shorthair
20,BML,Burmilla
21,BUR,Burma
22,CHA,Chartreux
23,EUR,European
24,KBL,Kurilean Bobtail Longhair
25,KBS,Kurilean Bobtail Shorthair
26,KOR,Korat
27,MAN,Manx
28,CYM,Cymric
29,MAU,Egyptian Mau
30,OCI,Ocicat
31,SIN,Singapura
32,SNO,Snowshoe
33,SOK,Sokoke
34,SRL,Selkirk Rex longhair
35,SRS,Selkirk Rex shorthair
36,ABY,Abyssinian
37,SOM,Somali
38,BAL,Balinese
39,SIA,Siamese
40,CRX,Cornish Rex
41,DRX,Devon Rex
42,GRX,German Rex
43,DSP,Don Sphynx
44,SPH,Sphynx
45,JBS,Japanese Bobtail Shorthair
46,OLH,Oriental Longhair
47,OSH,Oriental Shorthair
48,PEB,Peterbald
49,RUS,Russian Blue
50,THA,Thai
51,XSH,Not recognised shorthair
52,HCL,Housecat longhair
53,HCS,Housecat shorthair
54,ABL,Not recognised 
55,ABS,Not recognised 
56,ALH,Not recognised 
57,AMS,Not recognised 
58,AMW,Not recognised 
59,ASH,Not recognised 
60,AUM,Not recognised 
61,BOM,Not recognised 
62,BRX,Not recognised 
63,JBL,Not recognised 
64,LYO,Not recognised 
65,MKB,Not recognised 
66,NEM,Not recognised 
67,RGM,Not recognised 
68,TGR,Not recognised 
69,TIF,Not recognised 
70,TOL,Not recognised 
71,TOS,Not recognised 
