id,breed_id,ems,english
1,1,w 61, white blue eyed 
2,1,w 62, white orange eyed 
3,1,w 63, white odd eyed 
4,1,w 67, white with Siamese blue eye colour 
5,1,n, black 
6,1,a, blue 
7,1,b, chocolate 
8,1,c, lilac 
9,1,d, red 
10,1,e, cream 
11,1,f, black tortie 
12,1,g, blue tortie 
13,1,h, chocolate tortie 
14,1,j, lilac tortie 
15,1,ns, black smoke 
16,1,as, blue smoke 
17,1,bs, chocolate smoke 
18,1,cs, lilac smoke 
19,1,ds, red smoke 
20,1,es, cream smoke 
21,1,fs, black tortie smoke 
22,1,gs, blue tortie smoke 
23,1,hs, chocolate tortie smoke 
24,1,js, lilac tortie smoke 
25,1,ns 11, black silver shaded 
26,1,as 11, blue silver shaded 
27,1,bs 11, chocolate silver shaded 
28,1,cs 11, lilac silver shaded 
29,1,ns 12, black silver shell 
30,1,as 12, blue silver shell 
31,1,bs 12, chocolate silver shell 
32,1,cs 12, lilac silver shell 
33,1,ds 11, red silver shaded 
34,1,es 11, cream silver shaded 
35,1,fs 11, black tortie silver shaded 
36,1,gs 11, blue tortie silver shaded 
37,1,hs 11, chocolate tortie silver shaded 
38,1,js 11, lilac tortie silver shaded 
39,1,ds 12, red silver shell 
40,1,es 12, cream silver shell 
41,1,fs 12, black tortie silver shell 
42,1,gs 12, blue tortie silver shell 
43,1,hs 12, chocolate tortie silver shell 
44,1,js 12, lilac tortie silver shell 
45,1,ny 11, black golden shaded 
46,1,ay 11, blue golden shaded 
47,1,ny 12, black golden shell 
48,1,ay 12, blue golden shell 
49,1,n 22, black blotched 
50,1,a 22, blue blotched 
51,1,b 22, chocolate blotched 
52,1,c 22, lilac blotched 
53,1,d 22, red blotched 
54,1,e 22, cream blotched 
55,1,f 22, black tortie blotched 
56,1,g 22, blue tortie blotched 
57,1,h 22, chocolate tortie blotched 
58,1,j 22, lilac tortie blotched 
59,1,n 23, black mackerel 
60,1,a 23, blue mackerel 
61,1,b 23, chocolate mackerel 
62,1,c 23, lilac mackerel 
63,1,d 23, red mackerel 
64,1,e 23, cream mackerel 
65,1,f 23, black tortie mackerel 
66,1,g 23, blue tortie mackerel 
67,1,h 23, chocolate tortie mackerel 
68,1,j 23, lilac tortie mackerel 
69,1,n 24, black spotted 
70,1,a 24, blue spotted 
71,1,b 24, chocolate spotted 
72,1,c 24, lilac spotted 
73,1,d 24, red spotted 
74,1,e 24, cream spotted 
75,1,f 24, black tortie spotted 
76,1,g 24, blue tortie spotted 
77,1,h 24, chocolate tortie spotted 
78,1,j 24, lilac tortie spotted 
79,1,ns 22 62, black silver blotched orange eyed 
80,1,as 22 62, blue silver blotched orange eyed 
81,1,bs 22 62, chocolate silver blotched orange eyed 
82,1,cs 22 62, lilac silver blotched orange eyed 
83,1,ds 22 62, red silver blotched orange eyed 
84,1,es 22 62, cream silver blotched orange eyed 
85,1,fs 22 62, black tortie silver blotched orange eyed 
86,1,gs 22 62, blue tortie silver blotched orange eyed 
87,1,hs 22 62, chocolate tortie silver blotched orange eyed 
88,1,js 22 62, lilac tortie silver blotched orange eyed 
89,1,ns 23 62, black silver mackerel orange eyed 
90,1,as 23 62, blue silver mackerel orange eyed 
91,1,bs 23 62, chocolate silver mackerel orange eyed 
92,1,cs 23 62, lilac silver mackerel orange eyed 
93,1,ds 23 62, red silver mackerel orange eyed 
94,1,es 23 62, cream silver mackerel orange eyed 
95,1,fs 23 62, black tortie silver mackerel orange eyed 
96,1,gs 23 62, blue tortie silver mackerel orange eyed 
97,1,hs 23 62, chocolate tortie silver mackerel orange eyed 
98,1,js 23 62, lilac tortie silver mackerel orange eyed 
99,1,ns 24 62, black silver spotted orange eyed 
100,1,as 24 62, blue silver spotted orange eyed 
101,1,bs 24 62, chocolate silver spotted orange eyed 
102,1,cs 24 62, lilac silver spotted orange eyed 
103,1,ds 24 62, red silver spotted orange eyed 
104,1,es 24 62, cream silver spotted orange eyed 
105,1,fs 24 62, black tortie silver spotted orange eyed 
106,1,gs 24 62, blue tortie silver spotted orange eyed 
107,1,hs 24 62, chocolate tortie silver spotted orange eyed 
108,1,js 24 62, lilac tortie silver spotted orange eyed 
109,1,ns 22 64, black silver blotched green eyed 
110,1,as 22 64, blue silver blotched green eyed 
111,1,bs 22 64, chocolate silver blotched green eyed 
112,1,cs 22 64, lilac silver blotched green eyed 
113,1,ds 22 64, red silver blotched green eyed 
114,1,es 22 64, cream silver blotched green eyed 
115,1,fs 22 64, black tortie silver blotched green eyed 
116,1,gs 22 64, blue tortie silver blotched green eyed 
117,1,hs 22 64, chocolate tortie silver blotched green eyed 
118,1,js 22 64, lilac tortie silver blotched green eyed 
119,1,ns 23 64, black silver mackerel green eyed 
120,1,as 23 64, blue silver mackerel green eyed 
121,1,bs 23 64, chocolate silver mackerel green eyed 
122,1,cs 23 64, lilac silver mackerel green eyed 
123,1,ds 23 64, red silver mackerel green eyed 
124,1,es 23 64, cream silver mackerel green eyed 
125,1,fs 23 64, black tortie silver mackerel green eyed 
126,1,gs 23 64, blue tortie silver mackerel green eyed 
127,1,hs 23 64, chocolate tortie silver mackerel green eyed 
128,1,js 23 64, lilac tortie silver mackerel green eyed 
129,1,ns 24 64, black silver spotted green eyed 
130,1,as 24 64, blue silver spotted green eyed 
131,1,bs 24 64, chocolate silver spotted green eyed 
132,1,cs 24 64, lilac silver spotted green eyed 
133,1,ds 24 64, red silver spotted green eyed 
134,1,es 24 64, cream silver spotted green eyed 
135,1,fs 24 64, black tortie silver spotted green eyed 
136,1,gs 24 64, blue tortie silver spotted green eyed 
137,1,hs 24 64, chocolate tortie silver spotted green eyed 
138,1,js 24 64, lilac tortie silver spotted green eyed 
139,1,ny 22, black golden blotched 
140,1,ay 22, blue golden blotched 
141,1,ny 23, black golden mackerel 
